회사명,종목코드,폐지일자,폐지사유,label
포이보스,038810,2009-04-11,자본전액잠식,1
이노블루,066200,2009-04-11,"2년연속 매출액 30억원 미달, 자본전액잠식",1
에프아이투어,047370,2009-04-11,자본전액잠식,1
우수씨엔에스,060550,2009-04-11,자본전액잠식,1
케이디세코,073780,2009-04-11,2회 연속 자본잠식률 50%이상,1
도움,078610,2009-04-11,자본전액잠식,1
아이비진,039060,2008-12-20,최종부도,1
세라온,050600,2008-09-09,2회연속 자본잠식률 50%이상,1
베스트플로우,060410,2008-08-25,2연속 자본잠식률 50%이상 및 자기자본 10억원 미만,1
한통데이타,045760,2008-06-13,감사의견거절(감사범위제한),1
한도하이테크,060660,2008-05-03,감사의견거절(감사범위제한),1
조이토토,044370,2008-05-03,감사의견거절(감사범위제한),1
두림티앤씨,033330,2008-05-03,감사의견거절(감사범위제한),1
에너윈,055970,2008-05-03,감사의견거절(감사범위제한),1
한텔,041940,2008-04-23,2연속 자본잠식률 50% 이상,1
청람디지탈,035270,2008-04-23,법정제출기한까지 사업보고서를 제출하지 아니한 후 법정제출기한의 다음날부터 10일 이내에 사업보고서 미제출,1
UC아이콜스,065810,2008-04-17,"자본전액잠식, 2회연속 자본잠식률 50%이상, 2회연속 자기자본 10억원 미만",1
모델라인,064720,2008-04-12,"자본전액잠식,최근3사업연도 연속 자기자본 대비 50%초과 법인세차감전계속사업손실",1
시큐리티KOR,066330,2008-04-12,2연속 자본잠식률 50%이상 및 자기자본 10억원 미만,1
퓨쳐비젼,042570,2008-04-12,자본전액잠식,1
엔토리노,032590,2008-04-12,자본전액잠식,1
우영,012460,2008-03-13,최종부도,1
씨엔씨엔터,038420,2007-08-29,2회연속 자본잠식률 50% 이상 및 자기자본 10억원 미만,1
이레전자산업,045310,2007-05-08,자본전액잠식,1
제이엠피,054790,2007-04-24,감사의견거절,1
엠텍반도체,054440,2007-04-13,자본전액잠식,1
예일바이오텍,054250,2007-04-11,"감사의견거절, 자본전액잠식, 2년 연속 자본잠식률 50% 이상",1
시큐어소프트,037060,2007-04-04,재감사보고서상 감사의견거절,1
VK,048760,2006-07-22,최종부도,1
