n_shareholder_change,n_capital_increase,n_cb,n_collateral,종목코드,회사명,label
0,0,0,0,252990,샘씨엔에스,0
0,0,0,0,060380,동양에스텍,0
0,0,0,0,078350,한양디지텍,0
0,0,0,0,417200,LS머트리얼즈,0
0,0,0,0,367000,플래티어,0
1,6,1,0,023790,동일스틸럭스,0
0,0,0,0,356890,싸이버원,0
0,0,0,0,365900,브이씨,0
0,0,1,0,452450,피아이이,0
0,0,1,0,391710,코닉오토메이션,0
2,0,0,2,034810,해성산업,0
